index,db,name,tissue,ann,ann_simplify,CL,translate
MCA_Lung_Plasmacytoid dendritic cell,MCA,Adult-Lung,Lung,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
MCA_Pancreas_Plasmacytoid dendritic cell,MCA,Eighteen-Months-Pancreas,Pancreas,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
MCA_Pancreas_Plasmacytoid dendritic cell,MCA,Three-Weeks-Pancreas,Pancreas,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
HCL_Peripheral-Blood_Plasmacytoid dendritic cell,HCL,Adult-Peripheral-Blood4,Peripheral-Blood,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
HCL_Peripheral-Blood_Plasmacytoid dendritic cell,HCL,Adult-Peripheral-Blood3,Peripheral-Blood,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
HCL_Peripheral-Blood_Plasmacytoid dendritic cell,HCL,Adult-Peripheral-Blood1,Peripheral-Blood,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
MCA_Peripheral-Blood_Plasmacytoid dendritic cell,MCA,Peripheral-Blood,Peripheral-Blood,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
MCA_Spleen_Plasmacytoid dendritic cell,MCA,Eighteen-Months-Spleen,Spleen,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
MCA_Spleen_Plasmacytoid dendritic cell,MCA,Two-Years-Spleen,Spleen,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
MCA_Intestine_Plasmacytoid dendritic cell_Siglech high,MCA,Adult-Intestine,Intestine,Plasmacytoid dendritic cell_Siglech high,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
MCA_Liver_Plasmacytoid dendritic cell_Siglech high,MCA,Adult-Liver,Liver,Plasmacytoid dendritic cell_Siglech high,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
MCA_Liver_Plasmacytoid dendritic cell_Siglech high,MCA,Ten-Days-Liver,Liver,Plasmacytoid dendritic cell_Siglech high,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
MCA_Spleen_Plasmacytoid dendritic cell_Siglech high,MCA,Adult-Spleen,Spleen,Plasmacytoid dendritic cell_Siglech high,Plasmacytoid dendritic cell,dendritic cell,树突状细胞
HCL_Kidney_Podocyte,HCL,Fetal-Kidney6,Kidney,Podocyte,Podocyte,podocyte,足细胞
HCL_Kidney_Podocyte,HCL,Fetal-Kidney4,Kidney,Podocyte,Podocyte,podocyte,足细胞
HCL_Kidney_Podocyte,HCL,Fetal-Kidney5,Kidney,Podocyte,Podocyte,podocyte,足细胞
HCL_Kidney_Podocyte,HCL,Fetal-Kidney3,Kidney,Podocyte,Podocyte,podocyte,足细胞
MCA_Kidney_Podocyte,MCA,Fetal-Kidney,Kidney,Podocyte,Podocyte,podocyte,足细胞
MCA_Kidney_Podocyte,MCA,Ten-Days-Kidney,Kidney,Podocyte,Podocyte,podocyte,足细胞
MCA_Kidney_Podocyte,MCA,Two-Years-Kidney,Kidney,Podocyte,Podocyte,podocyte,足细胞
MCA_Kidney_Podocyte_Pcp4 high,MCA,Neonatal-Kidney,Kidney,Podocyte_Pcp4 high,Podocyte,podocyte,足细胞
MCA_Kidney_Podocyte_Podxl high,MCA,Neonatal-Kidney,Kidney,Podocyte_Podxl high,Podocyte,podocyte,足细胞
MCA_Brain_POMC neurons,MCA,Arc-ME,Brain,POMC neurons,POMC neurons,neural cell,神经细胞
HCL_Adrenal-Gland_Pre B cell,HCL,Fetal-Adrenal-Gland2,Adrenal-Gland,Pre B cell,Pre B cell,B cell,B细胞
HCL_Bone-Marrow_Pre B cell,HCL,Adult-Bone-Marrow-CD34P,Bone-Marrow,Pre B cell,Pre B cell,B cell,B细胞
MCA_Bone-Marrow_Pre B cell,MCA,Bone-Marrow_c-kit,Bone-Marrow,Pre B cell,Pre B cell,B cell,B细胞
MCA_Bone-Marrow_Pre B cell,MCA,Bone-Marrow-Mesenchyme,Bone-Marrow,Pre B cell,Pre B cell,B cell,B细胞
MCA_Bone-Marrow_Pre B cell,MCA,Bone-Marrow,Bone-Marrow,Pre B cell,Pre B cell,B cell,B细胞
